This list contains all games supported by FB Alpha.

4642 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| xsedae	| D NW	| "xsedae"						| 		| 1993	| Miscellaneous	| 		| Dream Island				|
| 88games	|  	| '88 Games						| 		| 1988	| Konami	| GX861		| 					|
| flagrall	|  	| '96 Flag Rally					| 		| 1996	| unknown	| Miscellaneous	| 					|
| 99lstwar	|  	| '99: The Last War					| repulse	| 1985	| Proma		| Kyugo		| 					|
| 99lstwara	|  	| '99: The Last War (alternate)				| repulse	| 1985	| Proma		| Kyugo		| 					|
| 99lstwark	|  	| '99: The Last War (Kyugo)				| repulse	| 1985	| Kyugo		| Kyugo		| 					|
| gtmro		|  	| 1000 Miglia: Great 1000 Miles Rally (94/05/10)	| gtmr		| 1994	| Kaneko	| Kaneko16	| 					|
| gtmrb		|  	| 1000 Miglia: Great 1000 Miles Rally (94/05/26)	| gtmr		| 1994	| Kaneko	| Kaneko16	| 					|
| gtmra		|  	| 1000 Miglia: Great 1000 Miles Rally (94/06/13)	| gtmr		| 1994	| Kaneko	| Kaneko16	| 					|
| gtmr		|  	| 1000 Miglia: Great 1000 Miles Rally (94/07/18)	| 		| 1994	| Kaneko	| Kaneko16	| 					|
| 1941u		|  	| 1941 - Counter Attack (900227 USA)			| 1941		| 1990	| Capcom	| CPS1		| 					|
| 1941		|  	| 1941 - Counter Attack (900227 World)			| 		| 1990	| Capcom	| CPS1		| 					|
| 1941j		|  	| 1941 - Counter Attack (Japan)				| 1941		| 1990	| Capcom	| CPS1		| 					|
| 1941r1	|  	| 1941 - Counter Attack (World)				| 1941		| 1990	| Capcom	| CPS1		| 					|
| 1942c64	|  	| 1942 (C64 Music)					| 1942		| 2015	| hack by Minwah| Miscellaneous	| 					|
| 1942b		|  	| 1942 (First Version)					| 1942		| 1984	| Capcom	| Miscellaneous	| 					|
| 1942a		|  	| 1942 (Revision A)					| 1942		| 1984	| Capcom	| Miscellaneous	| 					|
| 1942abl	|  	| 1942 (Revision A, bootleg)				| 1942		| 1984	| Capcom	| Miscellaneous	| 					|
| 1942		|  	| 1942 (Revision B)					| 		| 1984	| Capcom	| Miscellaneous	| 					|
| 1942w		|  	| 1942 (Williams Electronics license)			| 1942		| 1985	| Capcom (Willia| Miscellaneous	| 					|
| 1943kai	|  	| 1943 Kai: Midway Kaisen (Japan)			| 		| 1987	| Capcom	| Miscellaneous	| 					|
| 1943bj	|  	| 1943: Midway Kaisen (bootleg)				| 1943		| 1987	| bootleg	| Miscellaneous	| 					|
| 1943ja	|  	| 1943: Midway Kaisen (Japan)				| 1943		| 1987	| Capcom	| Miscellaneous	| 					|
| 1943j		|  	| 1943: Midway Kaisen (Japan, Rev B)			| 1943		| 1987	| Capcom	| Miscellaneous	| 					|
| 1943b		|  	| 1943: The Battle of Midway (bootleg set 1, hack of Jap| 1943		| 1987	| bootleg	| Miscellaneous	| 					|
| 1943b2	|  	| 1943: The Battle of Midway (bootleg set 2, hack of Jap| 1943		| 1987	| bootleg	| Miscellaneous	| 					|
| 1943		|  	| 1943: The Battle of Midway (Euro)			| 		| 1987	| Capcom	| Miscellaneous	| 					|
| 1943ja2	|  	| 1943: The Battle of Midway (hack of Japan set)	| 1943		| 1987	| Capcom	| Miscellaneous	| 					|
| 1943ua	|  	| 1943: The Battle of Midway (US)			| 1943		| 1987	| Capcom	| Miscellaneous	| 					|
| 1943u		|  	| 1943: The Battle of Midway (US, Rev C)		| 1943		| 1987	| Capcom	| Miscellaneous	| 					|
| 1943mii	|  	| 1943: The Battle of Midway Mark II (US)		| 		| 1988	| Capcom	| Miscellaneous	| 					|
| 1944j		|  	| 1944 - the loop master (000620 Japan)			| 1944		| 2000	| Capcom / 8ing | CPS2		| 					|
| 1944d		|  	| 1944 - the loop master (000620 USA Phoenix Edition)	| 1944		| 2000	| bootleg	| CPS2		| 					|
| 1944ad	|  	| 1944 - the loop master (000620 USA Phoenix Edition, al| 1944		| 2000	| bootleg	| CPS2		| 					|
| 1944		|  	| 1944 - the loop master (000620 USA)			| 		| 2000	| Capcom / 8ing | CPS2		| 					|
| bgareggabl	|  	| 1945 Part 2 (Chinese hack of Battle Garaga)		| bgaregga	| 1996	| hack		| Toaplan GP9001| 					|
| 1945kiii	|  	| 1945k III (newer, OPCX2 PCB)				| 		| 2000	| Oriental Soft	| Miscellaneous	| 					|
| 1945kiiio	|  	| 1945k III (older, OPCX1 PCB)				| 1945kiii	| 1999	| Oriental Soft	| Miscellaneous	| 					|
| 19xxar1	|  	| 19XX - the war against destiny (951207 Asia)		| 19xx		| 1995	| Capcom	| CPS2		| 					|
| 19xxjr2	|  	| 19XX - the war against destiny (951207 Japan)		| 19xx		| 1995	| Capcom	| CPS2		| 					|
| 19xxd		|  	| 19XX - the war against destiny (951207 USA Phoenix Edi| 19xx		| 1995	| bootleg	| CPS2		| 					|
| 19xx		|  	| 19XX - the war against destiny (951207 USA)		| 		| 1995	| Capcom	| CPS2		| 					|
| 19xxb		|  	| 19XX - the war against destiny (951218 Brazil)	| 19xx		| 1995	| Capcom	| CPS2		| 					|
| 19xxh		|  	| 19XX - the war against destiny (951218 Hispanic)	| 19xx		| 1995	| Capcom	| CPS2		| 					|
